moduleCode,classType,classGroup,durationMinutes

# LM121 – Year 1 (Common Entry)

CS4012,lecture,1,120
CS4012,tutorial,1,60
CS4012,lab,1,120

CS4141,lecture,1,120
CS4141,lab,1,120

CS4221,lecture,1,120
CS4221,lab,1,120

ET4011,lecture,1,120
ET4011,tutorial,1,60
ET4011,lab,1,120

MS4111,lecture,1,120
MS4111,tutorial,1,60

CS4043,lecture,1,120
CS4043,lab,1,120

CS4222,lecture,1,120
CS4222,lab,1,120

CS4182,lecture,1,120
CS4182,tutorial,1,60
CS4182,lab,1,120

ET4162,lecture,1,120
ET4162,tutorial,1,60
ET4162,lab,1,120

MA4402,lecture,1,120
MA4402,tutorial,1,60

# LM121-CS – Computer Systems

CS4013,lecture,1,120
CS4013,lab,1,120

CS4023,lecture,1,120
CS4023,tutorial,1,60
CS4023,lab,1,120

CS4416,lecture,1,120
CS4416,lab,1,120

CS4004,lecture,1,120
CS4004,lab,1,120

CS4178,lecture,1,120

CS4006,lecture,1,120
CS4006,tutorial,1,60

CS4076,lecture,1,120
CS4076,lab,1,120

CS4115,lecture,1,120
CS4115,tutorial,1,60
CS4115,lab,1,120

CS4815,lecture,1,120
CS4815,lab,1,120

MA4413,lecture,1,120
MA4413,tutorial,1,60

CS4230,lecture,1,0
CS4310,lecture,1,0

CS4457,lecture,1,120
CS4187,lecture,1,120
CS4084,lecture,1,120
CS4084,lab,1,120
CS4116,lecture,1,120
CS4116,lab,1,120
CS4106,lecture,1,120

CS4617,lecture,1,60
CS4125,lecture,1,120
CS4207,lecture,1,120
CS4207,lab,1,120
CS4337,lecture,1,120
CS4337,lab,1,120
CS4287,lecture,1,120

CS4618,lecture,1,60
CS4227,lecture,1,120
CS4158,lecture,1,120
CS4168,lecture,1,120

# LM121-CYB – Cyber Security

CE4703,lecture,1,120
CE4703,lab,1,120

CE4607,lecture,1,120
CE4607,tutorial,1,60
CE4607,lab,1,120

ET4023,lecture,1,120
ET4023,tutorial,1,60
ET4023,lab,1,120

ED5081,lecture,1,120
ED5081,lab,1,120

ET4033,lecture,1,120
ET4033,lab,1,120

ET4024,lecture,1,120
ET4024,lab,1,120

ET4014,lecture,1,120
ET4014,lab,1,120

ET4334,lecture,1,120
ET4334,lab,1,120

ED5042,lecture,1,120
ED5042,lab,1,120

ET4047,lecture,1,120
ET4047,tutorial,1,60
ET4047,lab,1,120

EE6003,lecture,1,120
EE6003,lab,1,120

CE5041,lecture,1,120

ET4244,lab,1,240

ET4437,lecture,1,120
ET4437,lab,1,120

COOP,lecture,1,0

CE4051,lecture,1,60
CE4051,lab,1,120

CE5031,lecture,1,120
CE5031,tutorial,1,60
CE5031,lab,1,120

CE4706,lecture,1,120
CE4706,lab,1,120

ET4307,lecture,1,120
ET4307,tutorial,1,60
ET4307,lab,1,120

ET4927,lecture,1,60

EE6022,lecture,1,120
EE6022,lab,1,120

CE5032,lecture,1,120
CE5032,lab,1,120

CE5022,lecture,1,120
CE5022,lab,1,120

ET4028,lecture,1,120
ET4028,lab,1,120

ET4928,lecture,1,60

# LM121-GAM – Games Development

CS4093,lecture,1,120
CS4093,lab,1,120

CS4151,lecture,1,120
CS4151,lab,1,120

CS4071,lecture,1,120
CS4071,lab,1,120

CS4096,lecture,1,120
CS4096,lab,1,120

CS4085,lecture,1,120
CS4085,lab,1,120

CS4197,lecture,1,60
CS4198,lecture,1,60

CS4067,lecture,1,120

# LM118 – Music, Media & Performance Tech

CS4231,lecture,1,60
CS4231,lab,1,120

CS4031,lecture,1,120
CS4031,lab,1,60

CS4061,lecture,1,60
CS4061,lab,1,120

CS4025,lecture,1,60
CS4025,lab,1,120

MA4701,lecture,1,180
MA4701,tutorial,1,60

CS4005,lecture,1,120
CS4005,lab,1,60

CS4082,lecture,1,120
CS4082,lab,1,120

CS4072,lecture,1,120
CS4072,lab,1,120

CS4232,lecture,1,60
CS4232,lab,1,180

CS4066,lecture,1,60
CS4066,lab,1,120

CS4019,lecture,1,240

CS4083,lecture,1,60
CS4083,lab,1,120

CS4053,lecture,1,60
CS4053,lab,1,120

CS4151,lecture,1,60
CS4151,tutorial,1,120

SO4033,lecture,1,120
SO4033,tutorial,1,60

CS4029,lecture,1,60
CS4029,lab,1,120

CS4174,lecture,1,60
CS4174,lab,1,120

CS4056,lecture,1,120
CS4056,lab,1,120

CS4009,lecture,1,60
CS4009,lab,1,120

CS4826,lecture,1,120
CS4826,tutorial,1,60

C04310,lecture,1,0

CS4030,lecture,1,240

CS4040,lecture,1,60
CS4040,lab,1,120

CS4242,lecture,1,60
CS4242,tutorial,1,120
CS4242,lab,1,120

CS4126,lecture,1,60
CS4126,tutorial,1,120
CS4126,lab,1,120

CS4457,lecture,1,120
CS4457,tutorial,1,60
CS4457,lab,1,60

CS4237,lecture,1,60

CS4059,lecture,1,60
CS4059,lab,1,120

CS4071,lecture,1,60
CS4071,tutorial,1,120

CS4107,lecture,1,60
CS4107,tutorial,1,60
CS4107,lab,1,120

CS4268,lecture,1,60

CS4049,lecture,1,60
CS4049,lab,1,120

CS4047,lecture,1,120
CS4047,tutorial,1,60

# LK489 – Computer Vision & AI Masters

CE4051,lecture,1,60
CE4051,lab,1,120

CE4041,lecture,1,120
CE4041,lab,1,120

CS6021,lecture,1,120
CS6021,tutorial,1,60

CS6461,lecture,1,120
CS6461,lab,1,120

IN6031,lecture,1,120

CE6026,lecture,1,60
CE6026,tutorial,1,60

CS5024,lecture,1,120
CS5024,tutorial,1,120

EE6008,lecture,1,120
EE6008,lab,1,120

CE5002,lecture,1,120
CE5002,lab,1,120

CE5021,lecture,1,120
CE5021,lab,1,120
