Programme,Year,Semester,Module


# LM121 – Common Entry (Year 1 only)


LM121,1,1,CS4012
LM121,1,1,CS4141
LM121,1,1,CS4221
LM121,1,1,ET4011
LM121,1,1,MS4111

LM121,1,2,CS4043
LM121,1,2,CS4222
LM121,1,2,CS4182
LM121,1,2,ET4162
LM121,1,2,MA4402


# LM121-CS – Computer Systems

# Year 2 - Semester 3
LM121-CS,2,1,CS4013
LM121-CS,2,1,CS4023
LM121-CS,2,1,CS4416
LM121-CS,2,1,CS4004
LM121-CS,2,1,CS4178

# Year 2 - Semester 4
LM121-CS,2,2,CS4006
LM121-CS,2,2,CS4076
LM121-CS,2,2,CS4115
LM121-CS,2,2,CS4815
LM121-CS,2,2,MA4413

# Year 3 - Semester 5
LM121-CS,3,1,CS4230
LM121-CS,3,1,CS4310

# Year 3 - Semester 6
LM121-CS,3,2,CS4457
LM121-CS,3,2,CS4187
LM121-CS,3,2,CS4084
LM121-CS,3,2,CS4116
LM121-CS,3,2,CS4106

# Year 4 - Semester 7
LM121-CS,4,1,CS4617
LM121-CS,4,1,CS4125
LM121-CS,4,1,CS4207
LM121-CS,4,1,CS4337
LM121-CS,4,1,CS4287

# Year 4 - Semester 8
LM121-CS,4,2,CS4618
LM121-CS,4,2,CS4227
LM121-CS,4,2,CS4158
LM121-CS,4,2,CS4168

# LM121-CYB – Cyber Security

# Year 2 - Semester 3
LM121-CYB,2,1,CE4703
LM121-CYB,2,1,CE4607
LM121-CYB,2,1,ET4023
LM121-CYB,2,1,ED5081
LM121-CYB,2,1,ET4033

# Year 2 - Semester 4
LM121-CYB,2,2,CS4023
LM121-CYB,2,2,ET4024
LM121-CYB,2,2,ET4014
LM121-CYB,2,2,ET4334
LM121-CYB,2,2,ED5042

# Year 3 - Semester 5
LM121-CYB,3,1,ET4047
LM121-CYB,3,1,EE6003
LM121-CYB,3,1,CE5041
LM121-CYB,3,1,ET4244
LM121-CYB,3,1,ET4437

# Year 3 - Semester 6
LM121-CYB,3,2,COOP

# Year 4 - Semester 7
LM121-CYB,4,1,CE4051
LM121-CYB,4,1,CE5031
LM121-CYB,4,1,CE4706
LM121-CYB,4,1,ET4307
LM121-CYB,4,1,ET4927

# Year 4 - Semester 8
LM121-CYB,4,2,EE6022
LM121-CYB,4,2,CE5032
LM121-CYB,4,2,CE5022
LM121-CYB,4,2,ET4028
LM121-CYB,4,2,ET4928

# LM121-GAM – Computer Games Development

# Year 2 - Semester 3
LM121-GAM,2,1,CS4013
LM121-GAM,2,1,CS4023
LM121-GAM,2,1,CS4416
LM121-GAM,2,1,CS4004
LM121-GAM,2,1,CS4093

# Year 2 - Semester 4
LM121-GAM,2,2,CS4006
LM121-GAM,2,2,CS4076
LM121-GAM,2,2,CS4115
LM121-GAM,2,2,CS4815
LM121-GAM,2,2,MA4413

# Year 3 - Semester 5
LM121-GAM,3,1,CS4151
LM121-GAM,3,1,CS4071
LM121-GAM,3,1,CS4084
LM121-GAM,3,1,CS4096
LM121-GAM,3,1,CS4106

# Year 3 - Semester 6
LM121-GAM,3,2,CS4230
LM121-GAM,3,2,CS4310

# Year 4 - Semester 7
LM121-GAM,4,1,CS4207
LM121-GAM,4,1,CS4085
LM121-GAM,4,1,CS4125
LM121-GAM,4,1,CS4287
LM121-GAM,4,1,CS4197

# Year 4 - Semester 8
LM121-GAM,4,2,CS4198
LM121-GAM,4,2,CS4227
LM121-GAM,4,2,CS4067
LM121-GAM,4,2,CS4168

# LM118 – Music, Media & Performance Technology

LM118,1,1,CS4231
LM118,1,1,CS4031
LM118,1,1,CS4061
LM118,1,1,CS4025
LM118,1,1,MA4701

LM118,1,2,CS4005
LM118,1,2,CS4082
LM118,1,2,CS4072
LM118,1,2,CS4232
LM118,1,2,CS4066

LM118,2,1,CS4019
LM118,2,1,CS4083
LM118,2,1,CS4053
LM118,2,1,CS4151
LM118,2,1,SO4033

LM118,2,2,CS4029
LM118,2,2,CS4174
LM118,2,2,CS4056
LM118,2,2,CS4009
LM118,2,2,CS4826

LM118,3,1,COOP
LM118,3,2,CS4030
LM118,3,2,CS4040
LM118,3,2,CS4242
LM118,3,2,CS4126
LM118,3,2,CS4457

LM118,4,1,CS4237
LM118,4,1,CS4059
LM118,4,1,CS4071
LM118,4,1,CS4107

LM118,4,2,CS4268
LM118,4,2,CS4049
LM118,4,2,CS4047

# LK489 – Master of Engineering in Computer Vision & AI

LK489,1,1,CE4051
LK489,1,1,CE4041

LK489,1,2,CS6021
LK489,1,2,CS6461
LK489,1,2,IN6031
LK489,1,2,CE6026
LK48
